PLZ,Name ,Landkreis,Bundesland
93138,Lappersdorf,Landkreis Regensburg,Bayern
23847,Lasbek,Kreis Herzogtum Lauenburg,Schleswig-Holstein
54612,Lasel,Landkreis Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
49688,Lastrup,Landkreis Cloppenburg,Niedersachsen
35321,Laubach,Landkreis Gießen,Hessen
87761,Lauben,Landkreis Unterallgäu,Bayern
87493,Lauben,Landkreis Oberallgäu,Bayern
6636,Laucha an der Unstrut,Landkreis Burgenlandkreis,Sachsen-Anhalt
1979,Lauchhammer,Landkreis Oberspreewald-Lausitz,Brandenburg
73466,Lauchheim,Landkreis Ostalbkreis,Baden-Württemberg
79787,Lauchringen,Landkreis Waldshut,Baden-Württemberg
97922,Lauda-Königshofen,Landkreis Main-Tauber-Kreis,Baden-Württemberg
69514,Laudenbach,Landkreis Rhein-Neckar-Kreis,Baden-Württemberg
63925,Laudenbach,Landkreis Miltenberg,Bayern
21481,Lauenburg/Elbe,Kreis Herzogtum Lauenburg,Schleswig-Holstein
37697,Lauenförde,Landkreis Holzminden,Niedersachsen
31714,Lauenhagen,Landkreis Schaumburg,Niedersachsen
77886,Lauf,Landkreis Ortenaukreis,Baden-Württemberg
91207,Lauf an der Pegnitz,Landkreis Nürnberger Land,Bayern
63846,Laufach,Landkreis Aschaffenburg,Bayern
83410,Laufen,Landkreis Berchtesgadener Land,Bayern
79725,Laufenburg (Baden),Landkreis Waldshut,Baden-Württemberg
74348,Lauffen am Neckar,Landkreis Heilbronn,Baden-Württemberg
86502,Laugna,Landkreis Dillingen a.d. Donau,Bayern
89415,Lauingen (Donau),Landkreis Dillingen a.d. Donau,Bayern
88471,Laupheim,Landkreis Biberach,Baden-Württemberg
2991,Lauta,Landkreis Bautzen,Sachsen
77794,Lautenbach,Landkreis Ortenaukreis,Baden-Württemberg
96169,Lauter,Landkreis Bamberg,Bayern
8315,Lauter-Bernsbach,Landkreis Erzgebirgskreis,Sachsen
78730,Lauterbach,Landkreis Rottweil,Baden-Württemberg
36341,Lauterbach,Landkreis Vogelsbergkreis,Hessen
67742,Lauterecken u.a.,Landkreis Kusel,Rheinland-Pfalz
92283,Lauterhofen,Landkreis Neumarkt i.d. OPf.,Bayern
73111,Lauterstein,Landkreis Göppingen,Baden-Württemberg
96486,Lautertal,Landkreis Coburg,Bayern
36369,Lautertal,Landkreis Vogelsbergkreis,Hessen
64686,Lautertal (Odenwald),Landkreis Bergstraße,Hessen
87763,Lautrach,Landkreis Unterallgäu,Bayern
66822,Lebach,Landkreis Saarlouis,Saarland
86983,Lechbruck,Landkreis Ostallgäu,Bayern
25917,Leck,Kreis Nordfriesland,Schleswig-Holstein
16767,Leegebruch,Landkreis Oberhavel,Brandenburg
26789,Leer,Landkreis Leer,Niedersachsen
31633,Leese,Landkreis Nienburg (Weser),Niedersachsen
23816,Leezen,Kreis Segeberg,Schleswig-Holstein
19067,Leezen,Landkreis Ludwigslust-Parchim,Mecklenburg-Vorpommern
87764,Legau,Landkreis Unterallgäu,Bayern
19336,"Legde/Quitzöbel, Bad Wilsnack",Landkreis Prignitz,Brandenburg
48739,Legden,Kreis Borken,Nordrhein-Westfalen
